1128550727 2005.10.05 R44-M0-N0 I:J18 U01 2005-10-05-15.18.47.225963 R44-M0-N0 I:J18 U01 RAS APP FATAL ciod: Error loading /home/spelce1/HPCC_IBM/Urgent/COP/64K/cop.rts: invalid or missing program image, Permission denied
1128550727 2005.10.05 R55-M1-N0 I:J18 U11 2005-10-05-15.18.47.442868 R55-M1-N0 I:J18 U11 RAS APP FATAL ciod: Error loading /home/spelce1/HPCC_IBM/Urgent/COP/64K/cop.rts: invalid or missing program image, Permission denied
1128550727 2005.10.05 R55-M1-N0 I:J18 U01 2005-10-05-15.18.47.536775 R55-M1-N0 I:J18 U01 RAS APP FATAL ciod: Error loading /home/spelce1/HPCC_IBM/Urgent/COP/64K/cop.rts: invalid or missing program image, Permission denied
1128550727 2005.10.05 R36-M0-N8 I:J18 U11 2005-10-05-15.18.47.652219 R36-M0-N8 I:J18 U11 RAS APP FATAL ciod: Error loading /home/spelce1/HPCC_IBM/Urgent/COP/64K/cop.rts: invalid or missing program image, Permission denied
1128550727 2005.10.05 R36-M0-N8 I:J18 U01 2005-10-05-15.18.47.770481 R36-M0-N8 I:J18 U01 RAS APP FATAL ciod: Error loading /home/spelce1/HPCC_IBM/Urgent/COP/64K/cop.rts: invalid or missing program image, Permission denied
1128550728 2005.10.05 R40-M1-N4 I:J18 U11 2005-10-05-15.18.48.109453 R40-M1-N4 I:J18 U11 RAS APP FATAL ciod: Error loading /home/spelce1/HPCC_IBM/Urgent/COP/64K/cop.rts: invalid or missing program image, Permission denied
1128550728 2005.10.05 R42-M0-N4 I:J18 U11 2005-10-05-15.18.48.313877 R42-M0-N4 I:J18 U11 RAS APP FATAL ciod: Error loading /home/spelce1/HPCC_IBM/Urgent/COP/64K/cop.rts: invalid or missing program image, Permission denied
1128550728 2005.10.05 R42-M0-N4 I:J18 U01 2005-10-05-15.18.48.452120 R42-M0-N4 I:J18 U01 RAS APP FATAL ciod: Error loading /home/spelce1/HPCC_IBM/Urgent/COP/64K/cop.rts: invalid or missing program image, Permission denied
1128550728 2005.10.05 R36-M0-NC I:J18 U11 2005-10-05-15.18.48.561018 R36-M0-NC I:J18 U11 RAS APP FATAL ciod: Error loading /home/spelce1/HPCC_IBM/Urgent/COP/64K/cop.rts: invalid or missing program image, Permission denied
1128550728 2005.10.05 R36-M0-NC I:J18 U01 2005-10-05-15.18.48.668565 R36-M0-NC I:J18 U01 RAS APP FATAL ciod: Error loading /home/spelce1/HPCC_IBM/Urgent/COP/64K/cop.rts: invalid or missing program image, Permission denied
1128550728 2005.10.05 R43-M1-NC I:J18 U11 2005-10-05-15.18.48.774500 R43-M1-NC I:J18 U11 RAS APP FATAL ciod: Error loading /home/spelce1/HPCC_IBM/Urgent/COP/64K/cop.rts: invalid or missing program image, Permission denied
1128550728 2005.10.05 R43-M1-NC I:J18 U01 2005-10-05-15.18.48.875984 R43-M1-NC I:J18 U01 RAS APP FATAL ciod: Error loading /home/spelce1/HPCC_IBM/Urgent/COP/64K/cop.rts: invalid or missing program image, Permission denied
1128550728 2005.10.05 R36-M0-N0 I:J18 U11 2005-10-05-15.18.48.991973 R36-M0-N0 I:J18 U11 RAS APP FATAL ciod: Error loading /home/spelce1/HPCC_IBM/Urgent/COP/64K/cop.rts: invalid or missing program image, Permission denied
1128550729 2005.10.05 R36-M0-N0 I:J18 U01 2005-10-05-15.18.49.099666 R36-M0-N0 I:J18 U01 RAS APP FATAL ciod: Error loading /home/spelce1/HPCC_IBM/Urgent/COP/64K/cop.rts: invalid or missing program image, Permission denied
1128550729 2005.10.05 R31-M0-N4 I:J18 U11 2005-10-05-15.18.49.200543 R31-M0-N4 I:J18 U11 RAS APP FATAL ciod: Error loading /home/spelce1/HPCC_IBM/Urgent/COP/64K/cop.rts: invalid or missing program image, Permission denied
1128550729 2005.10.05 R31-M0-N4 I:J18 U01 2005-10-05-15.18.49.308287 R31-M0-N4 I:J18 U01 RAS APP FATAL ciod: Error loading /home/spelce1/HPCC_IBM/Urgent/COP/64K/cop.rts: invalid or missing program image, Permission denied
1128550729 2005.10.05 R42-M1-N8 I:J18 U11 2005-10-05-15.18.49.407898 R42-M1-N8 I:J18 U11 RAS APP FATAL ciod: Error loading /home/spelce1/HPCC_IBM/Urgent/COP/64K/cop.rts: invalid or missing program image, Permission denied
